"ECSO_ID","label","n"
"","",13096
"ECSO_00000536","Carbon Dioxide Flux",103
"ECSO_00001184","Dry Mass Density",41
"ECSO_00000580","CO2 Concentration in air",40
"ECSO_00000014","Net Ecosystem Exchange Carbon Flux",38
"ECSO_00001129","Net Carbon Respiration Rate Flux",31
"ECSO_00001125","Dissolved Organic Carbon Concentration",28
"ECSO_00001127","Carbon Percentage",18
"ECSO_00001138","Carbon to Nitrogen Ratio",14
"ECSO_00000582","Methane Flux",10
"ECSO_00000530","CO2 Concentration",9
"ECSO_00000064","Gross Primary Productivity MOV",8
"ECSO_00001224","Carbon Dioxide Pressure",8
"ECSO_00001153","Dry Weight Biomass",7
"ECSO_00000015","Primary Production Carbon Flux",6
"ECSO_00000016","Respiration Carbon Flux",6
"ECSO_00000516","Chlorophyll-a Concentration",6
"ECSO_00000522","Freshwater Carbon Dioxide Concentration",6
"ECSO_00001110","Soil Bulk Density",6
"ECSO_00000568","'Seawater Chlorophyll Fluorescence'",5
"ECSO_00001142","Carbon Stable Isotope Ratio",5
"ECSO_00001180","Carbon Biomass Density",5
"ECSO_00000524","Fluorescence_measurementType",4
"ECSO_00000532","Soil Heterotrophic Respiration Carbon Flux",4
"ECSO_00001148","Plant Material Biomass",4
"ECSO_00000201","Carbon Dioxide Diffusion Flux",3
"ECSO_00001118","Aquatic Total Organic Carbon Concentration",3
"ECSO_00000531","Total Soil Carbon",2
"ECSO_00001135","Aboveground Biomass",2
"ECSO_00001143","Carbon Biomass",2
"ECSO_00001249","Pheophytin Concentration",2
" ","",1
"CHEBI_22712","benzenes",1
"ECSO_00000020","Gross Primary Production Carbon Flux",1
"ECSO_00000073","Above Ground Woody Biomass MOV",1
"ECSO_00000336","Particulate Organic Carbon Pool",1
"ECSO_00000514","Flux Measurement Type",1
"ECSO_00000571","dissolved organic carbon",1
"ECSO_00000578","Aquatic Particulate Organic Carbon",1
"ECSO_00000579","Soil organic matter proportion",1
"ECSO_00001172","Litter Biomass Density",1
"ENVO_02500007","ecosystem-wide photosynthesis",1
