attributeName,attributeDefinition,n,ECSO_ID
sal00,"salinity, the concentration of dissolved salts in water",136,test
flag,flag,111,
prDM,pressure in digiquartz,109,
scan,scan count,107,
t090C,temperature in celsius,99,
depSM,depth,91,
v4,voltage 4,91,
altM,altimeter,89,
c0mS/cm,"conductivity, the degree to which a specified material conducts electricity",89,
c1mS/cm,"conductivity 2, the degree to which a specified material conducts electricity",89,
sal11,"salinity 2, the concentration of dissolved salts in water",89,
sbeox0ML/L,recorded oxygen from SBE 43 instrument,89,
svCM,sound velocity in Chen-Millero m/s,89,
t190C,temperature 2 in celsius,81,
DOY,"Decimal Day of the Year.  Example: In the data file 2015_2016_winter_E6_temperature.csv,
                                   values for decimal day of year begin at 255.709193.   This corresponds to approximately 71%
                                   of the way through the 256th day of 2015, or 5:02 pm on September 19th, 2015.  In data files
                                   that contain a transition to a new calendar year, values for the new year begin at 365.00000 (or 366.00000 for leap years).",69,
v5,voltage 5,64,
Altimeter,bottom-finding altimeter reading,60,
Flur,fluoresence,60,
OxCur,oxygen current,60,
OXYG,dissolved oxygen,60,
Pres,binned pressure,60,
Sal(1),calibrated primary salinity,60,
T90(1),calibrated primary temperature in celsius,60,
T90(2),calibrated secondary temperature in celsius,60,
Trans,"beam transmission, percent",60,
wocecode,World Ocean Circulation Experiment quality word for each variable,60,
v2,voltage 2,57,
v1,voltage 1,51,
v6,voltage 6,51,
dovdt,Estimate of sensor output change over time,50,
nscans,number of CTD scans used in pressure bin-averaging,50,
Sal(2),calibrated secondary salinity,50,
par,photosynthetically active radiation,48,
Latitude,latitude,42,
Longitude,longitude,42,
v3,voltage 3,41,
v7,voltage 7,40,
sigma-theta,density,37,
OXYG2,dissolved oxygen 2,34,
BAT,beam attenuation,33,
Spar,surface PAR/irradiance and Biospherical/Licor,33,
BATT,"Campbell Datalogger 21X Battery Voltage, Volts",31,
DRYB_L,"Lower Dry Bulb Temperature Micro-Bowen-Ratio System, degC",31,
DRYB_U,"Upper Dry Bulb Temperature Micro-Bowen-Ratio System, degC",31,
GLOBR,"Global Radiation (Shortwave Incoming Radiation), W/m2",31,
HHMM,"Time ADT, HHMM",31,
HYDRA1,"Soil Moisture Probe Hydra Signal #1, mV",31,
HYDRA2,"Soil Moisture Probe Hydra Signal #2, mV",31,
HYDRA3,"Soil Moisture Probe Hydra Signal #3, mV",31,
HYDRA4,"Soil Moisture Probe Hydra Signal #4 (Temperature), mV",31,
JD,Julian Day (number of day in the year),31,
PAR,"Photosynthetic Active Radiation, micromol/m2/s",31,
PRESS,"Air Pressure, hPa",31,
R_HUM,"Relative Humidity, percents",31,
RN_RB,"Net Radiation (REBS Q*7), W/m2",31,
RN_ST,"Net Radiation Intercalibration Standard (Swissteco), W/m2",31,
